name;categorie;sous-categorie
VRV_PUBLICITE OUEST;;
VRV_MALT COMMUNITY MGS8G9FCAO;;
VRV_INSTANT ARCHIVES;;
VRV_ENTREPRISE P PELISSIER;;
VRV_PROCLEAN ENTRETIEN P;;
VRV_SOFIBAT B;;
VRV_DUNOD EDITEUR;;
VRV_CIDI GROUPE SAS;;
VRV_ODACE;;
VRV_SAS ORANGE VERTE;;
VRV_L AGENCE SHORT;;
VRV_KLOX;;
VRV_NATIONAL MOBILITY LIMITE;;
VRV_L ESCAPE BRAIN;CAPEX;
VRV_SUPREME IT;CAPEX;
VRV_KARTING;CAPEX;
VRV_FOSELEV SUD OUEST;;
VRV_FOURNIRESTO;CAPEX;
VRV_ATLANTIC GRENAILLAGE;CAPEX;
VRV_PREV INC CIE;;
VRV_LA FABRIQUE DES;;
VRV_BFEDESIGN UNIPESSOAL;CAPEX;
VRV_NEON ECLAIR;;
VRV_IMPEX FOOD;;
VRV_TOUTEQUIP DIRECT;;
VRV_ASI SECURITE;;
VRV_EVELYNE;;
VRV_AMP NETTOYAGE SERVICES;;
VRV_PIVANO;;
VRV_CAMANDE;;
VRV_HERVE THERMIQUE;;
VRV_OTE INGENIERIE -;;
VRV_JOULAIN ENERGIE;;
VRV_KLEPIERRE BRAND VENT;;
VRV_MAVEN;;
VRV_TARA S BODY;;
VRV_S PRO;;
VRV_ALTAIS;;
VRV_ORTALISSA;Loyer;
VRV_CBONDS;;
VRV_OUEST MAINTENANCE SE;;
VRV_EURO EVENTS;;
VRV_CEGELEC LOIRE OCEAN;;
VRV_NAMIXIS-SSICOOR;;
VRV_ANGERS LOIRE TOURISME;;
VRV_FAAC ENTRANCE SOLUTI;;
VRV_ISAP FRANCE;;
VRV_KONE;;
VRV_M T E;CAPEX;
VRV_DERATHIZER;;
VRV_FSET;CAPEX;
VRV_OVALE F-;;
VRV_CEPA ASCENSEURS;;
VRV_SAGIMECA EVENT- SIGNALE;;
VRV_DIGITEVENT;;
VRV_SARP MEDITERRANEE;;
VRV_CHUBB FRANCE;;
VRV_AFE L ENSEIGNES;;
VRV_DIGITAL COOKER;;
VRV_UNIFORMATION;;
VRV_ADESATT;;
VRV_ATLAS CONTRIBUTION;;
VRV_MEDIATRANSPORTS;;
VRV_SEEGMAN SERVICIOS JURIDI;;
VRV_JOHANNE GOLL F2025-004-OTIUM;;
VRV_JANSON SRL BV;;
VRV_VALENTIN LE DILY;;
VRV_CURVE;;
VRV_INSERT;;
VRV_ENTREPRISE SAS EFIC;CAPEX;
VRV_NATURE PLANET APS;;
VRV_JOHANNE GOLL F2025-007-OTIUM;;
VRV_CTDI ROMANIA SRL;;
VRV_AVISTA T-LW-24-499-DGD;CAPEX;
VRV_ATELIER PATRICK FONT;;
VRV_CLASS -;;
VRV_VALCKE;;
VRV_LEXCELLENT;;
VRV_LAMARTINE CONSEILS;;
VRV_OPCO EP MY230179K;;
VRV_NAJIB;;
VRV_BOUBANETT NETTOYAGE EI;;
VRV_SEBASTIEN HENON;;
VRV_LEXCELLENT FD;;
VRV_RIBARD;;
VRV_ATELIER LAMBERT;;
VRV_SAS KOBATEX;;
VRV_GARREAU;;
VRV_ENTERTAINMENT LTD;CAPEX;
VRV_PICARDIE ENSEIGNES NEON;;
VRV_SAS POTION OF;;
VRV_ISAP;;
VRV_SAS SAS ASV;;
VRV_GSF;;
VRV_BLOIS FD;;
VRV_A BEAUTE;;
ERREUR;;
VIR;;
VIR INST CSE CREDIT AGRICOLE;CA;Paiement client
VIR SAS ATOUT PASS DEVIS;CA;Paiement client
VIR SAS ATOUT PASS;CA;Paiement client
VIR STRIPE PAYMENTS UK LTD;CA;Paiement client
VIR CONFLANS LOISIRS;CA;Paiement client
VIR ACOMPTE DE SALAIRE FEVRIER;;
FLUX CHAMBLY - SPH;CAPEX;Interco
VIR FLUX SPH - SPD;CAPEX;Interco
VIR CSE SUNDYNE ACSOC REFERENCE;CA;Paiement client
FLUX GF MACON - SP;CAPEX;Interco
FLUX GF - SP;CAPEX;Interco
FLUX GF - SP H;CAPEX;Interco
FLUX GF PARK - SPH;CAPEX;Interco
VIR INST ZAMET DAVID JUDITH;CA;Paiement client
VIR INST IMAGIPARK MONS SA;CAPEX;Interco
VIR KSP VIR SEPA;CAPEX;Interco
VIR CSEE GROUPAMA SUPPORTS ECLIPSO;CA;Paiement client
VIR ADYEN N.V. TX48776638400XT TX48776638400XT;CA;Paiement client
VIR FLUX ECLIPSO H -;CAPEX;Interco
VIR SGC ST ANDRE DE;CA;Paiement client
VIR FLUX SPH - FONTAINE;CAPEX;Interco
FLUX GF H - GF;CAPEX;Interco
PRLV SEPA GC RE MANGOPAY;;
VIR FLUX SPH - SPH;CAPEX;Interco
PRLV SEPA VW BANK FRANCE;;
FLUX FBA H - FBA;CAPEX;Interco
VIR SAINT QUENTIN FD;CA;Paiement client
VIR ECLIPSO DEPOT DE;;
FLUX CHAMBLY - SP H;CAPEX;Interco
FLUX CONFLANS-SP H;CAPEX;Interco
VIR CSE FRAMATOME CHALON SUL;CA;Paiement client
FLUX FONTAINE DEVELOPPE-SPH;CAPEX;Interco
VIR FLUX ECLIPSO H-ECLIPSO NANT;CAPEX;Interco
VIR INST CSE TERREAL CHAGNY;CA;Paiement client
VIR FLUX CIC - SPENDESK;CAPEX;Interco
VIR ADYEN N.V. TX47444460300XT TX47444460300XT;CA;Paiement client
FLUX SPH - CHAMBLY FD;CAPEX;Interco
PRLV SEPA RECISIO SAS;;
VIR FLUX ECLIPSO B -;CAPEX;Interco
VIR CSEM ASC BRED BP;CA;Paiement client
VIR REMB HUTCHINSON;;
VIR INST UNION SPORTIVE DE;CA;Paiement client
FLUX SP D - SP;CAPEX;Interco
PRLV SEPA SUEZ EAU FRANCE;Fournisseurs;Achat courant
VIR SGC MARMANDE FAC.;;
PRLV SEPA SAS VARONIA SYSTEMS;CAPEX;
FLUX FAB H - FBA;CAPEX;Interco
VIR INST FLUX SP VAL;CAPEX;Interco
PRLV SEPA SAS SKELLO -;Fournisseurs;Achat courant
VIR HOLOTEK REMBOURSEMENT TROP PAYE;CA;Paiement client
VIR GOOGLE IRELAND LIMITED GG103UF4WY;;Google
VIR ACS-CCI PARIS IDF CODE;CA;Paiement client
VIR CSE SPIE BATIGNOLLES FON;CA;Paiement client
VIR RBST CLIENT CSE SUEZ;;
VIR RELAIS VAL DE SEINE;CA;Paiement client
VIR STEF LOGISTIQUE SAINT OU;CA;Paiement client
VIR SGC HOUILLES;CA;Paiement client
VIR SGC ARMENTIERES;CA;Paiement client
VIR CSE GENERALI DSO;CA;Paiement client
VIR FLUX CONFLANS-SP H;CAPEX;Interco
VIR MEETING CONTACT DG;;
VIR SGC COLOMBES FAC.;;
PRLV SEPA URSSAF MIDI PYRENEES;Salaires;n.a
PRLV SEPA MATMUT ROUEN C;;
VIR FBA - FAB;CAPEX;Interco
PRLV SEPA URSSAF D ILE;Salaires;n.a
VIR SGC BELIN BELIET BIGANOS;CA;Paiement client
